บท,คำถาม,ตัวเลือก ก,ข,ค,ง,เฉลย(1-4),คำอธิบาย
c1b1,ผลคูณ 2.5 × 3.42 เมื่อรายงานด้วยเลขนัยสำคัญที่ถูกต้องคือเท่าใด?,8.55,8.6,8.550,9,2,2.5 มี 2 เลขนัยสำคัญ → ผลลัพธ์ต้องมี 2 เลขนัยสำคัญ; 8.55 → 8.6
c1b1,อุปกรณ์ป้องกัน (PPE) ใดที่ต้องสวมตลอดเวลาในห้องปฏิบัติการ?,รองเท้าแตะ,แว่นนิรภัย,เสื้อกล้าม,ถุงมือผ้า,2,แว่นนิรภัยป้องกันสารกระเด็นเข้าตา เป็น PPE พื้นฐานที่ต้องสวมเสมอ
c1b1,สัญลักษณ์ GHS รูปเปลวไฟหมายถึงสารประเภทใด?,สารระเบิด,สารไวไฟ,สารกัดกร่อน,สารเป็นพิษ,2,รูปเปลวไฟ = สารไวไฟ (Flammable) เช่น เอทานอล อะซีโตน
c1b1,เลข 1500 เขียนในรูปสัญกรณ์วิทยาศาสตร์แบบ 2 เลขนัยสำคัญคือข้อใด?,1.5 × 10³,15 × 10²,1.500 × 10³,1.5 × 10²,1,2 เลขนัยสำคัญ (1 และ 5) และค่า 1500 = 1.5 × 10³
c1b1,เทคนิคใดใช้แยกสารโดยอาศัยความแตกต่างของจุดเดือด?,การกรอง,การกลั่น,การระเหิด,โครมาโทกราฟี,2,การกลั่น (distillation) แยกของเหลวที่มีจุดเดือดต่างกัน เช่น แยกเอทานอลจากน้ำ
c1b1,เลข 0.00450 มีเลขนัยสำคัญกี่ตัว?,2,3,4,5,2,"นับเฉพาะ 4, 5 และ 0 ตัวท้าย = 3 ตัว (เลข 0 นำหน้าไม่นับ ส่วน 0 หลังจุดทศนิยมท้ายค่านับ)"
c1b1,การเจือจางกรดซัลฟิวริกเข้มข้นต้องทำอย่างไรจึงปลอดภัย?,เทน้ำลงในกรด,เทกรดลงในน้ำช้า ๆ,ผสมพร้อมกันอย่างรวดเร็ว,อุ่นกรดก่อนเติมน้ำ,2,ต้องค่อย ๆ เทกรดลงในน้ำ (Add Acid) เพราะคายความร้อนสูง ถ้าเทน้ำลงกรดจะเดือดกระเซ็น
c1b1,อุณหภูมิ 25 °C คิดเป็นกี่เคลวิน?,248 K,273 K,298 K,325 K,3,K = °C + 273.15 → 25 + 273.15 ≈ 298 K
c1b1,จะแยกเกลือที่ละลายอยู่ออกจากน้ำเกลือด้วยวิธีใด?,การกรอง,การระเหย/การกลั่น,การหยิบออก,การเทออก,2,เกลือละลายเป็นเนื้อเดียวกับน้ำ ต้องระเหยน้ำออก (หรือกลั่นถ้าต้องการน้ำด้วย) การกรองใช้กับของแข็งที่ไม่ละลาย
c1b1,"""ความแม่น (accuracy)"" ของการวัดหมายถึงอะไร?",ค่าที่วัดซ้ำใกล้เคียงกัน,ค่าที่วัดใกล้เคียงค่าจริง,การวัดเร็ว,การวัดหลายครั้ง,2,ความแม่น = ใกล้ค่าจริง ส่วนความเที่ยง (precision) = ค่าที่วัดซ้ำใกล้กัน
c1b1,เลข 0.00302 มีเลขนัยสำคัญกี่ตัว?,2,3,4,5,2,"นับ 3, 0 (กลาง) และ 2 = 3 ตัว ส่วนเลข 0 ที่นำหน้าไม่นับเป็นเลขนัยสำคัญ"
c1b1,การบวกลบเลขที่มีเลขนัยสำคัญต่างกัน ผลลัพธ์ยึดตามเกณฑ์ใด?,จำนวนเลขนัยสำคัญที่น้อยที่สุด,จำนวนตำแหน่งทศนิยมที่น้อยที่สุด,จำนวนทศนิยมที่มากที่สุด,ค่าเฉลี่ยของทศนิยม,2,การบวกลบยึดตามจำนวนตำแหน่งทศนิยมที่น้อยที่สุด ส่วนการคูณหารยึดจำนวนเลขนัยสำคัญที่น้อยที่สุด
c1b1,หน่วยฐาน SI ของปริมาณสาร (amount of substance) คือหน่วยใด?,กรัม,โมล (mol),ลิตร,เคลวิน,2,โมล (mol) เป็นหน่วยฐาน SI ของปริมาณสาร ส่วนกิโลกรัมเป็นหน่วยฐานของมวล
c1b1,"คำนำหน้าหน่วย ""นาโน (nano)"" มีค่าเท่ากับเท่าใด?",10⁻³,10⁻⁶,10⁻⁹,10⁻¹²,3,นาโน = 10⁻⁹ ส่วนมิลลิ = 10⁻³ ไมโคร = 10⁻⁶ และพิโก = 10⁻¹²
c1b1,สัญลักษณ์ GHS รูปหัวกะโหลกไขว้กระดูกหมายถึงสารประเภทใด?,สารไวไฟ,สารกัดกร่อน,สารพิษเฉียบพลันร้ายแรง,สารกัมมันตรังสี,3,รูปหัวกะโหลกไขว้กระดูก = สารที่เป็นพิษเฉียบพลันร้ายแรง อาจทำให้เสียชีวิตได้แม้ปริมาณน้อย
c1b1,เทคนิคใดเหมาะที่สุดสำหรับแยกของแข็งที่ไม่ละลายออกจากของเหลว?,การกลั่น,การกรอง,การระเหิด,โครมาโทกราฟี,2,การกรอง (filtration) ใช้แยกของแข็งที่ไม่ละลายออกจากของเหลว เช่น แยกทรายออกจากน้ำ
